"Licence Number","Date Licence Granted","Premises Name","Premises Address","Licence Holder","Designated Premises Supervisor","Supply of Alcohol","Late Night Refreshment","Live Music","Recorded Music","Opening Hours","Plays","Films","Indoor Sporting Events","Boxing or Wrestling Entertainment","Performance of Dance","Other Entertainment Similar to Live or Recorded Music or Dance Performance","Facilities for Making Music","Facilities for Dancing","Other Entertainment Facilities Similar to Making Music or Dancing"
"","","","","","","Mon 10:00-23:00^Tue 10:00-23:00^Wed 10:00-23:00^Thu22:30Mon 10:00-23:15^Tue 10:00-23:15^Wed 10:00-23:15^Thu22:30Mon 08:00-23:00^Tue 08:00-23:00^Wed 08:00-23:00^Thu22:30Mon 08:00-00:00^Tue 08:00-00:00^Wed 08:00-00:00^Thu00:00Mon 08:00-23:00^Tue 08:00-23:00^Wed 08:00-23:00^Thu22:30","Mon 23:00-00:00^Tue 23:00-00:00^Wed 23:00-00:00^Thu00:00","Mon 10:00-23:00^Tue 10:00-23:00^Wed 10:00-23:00^Thu22:30Mon 10:00-23:15^Tue 10:00-23:15^Wed 10:00-23:15^Thu23:15","Mon 10:00-23:30^Tue 10:00-23:30^Wed 10:00-23:30^Thu23:00Mon 10:00-23:15^Tue 10:00-23:15^Wed 10:00-23:15^Thu23:15Mon 08:00-00:00^Tue 08:00-00:00^Wed 08:00-00:00^Thu00:00","Mon 10:00-23:15^Tue 10:00-23:15^Wed 10:00-23:15^Thu23:15Mon 08:00-00:30^Tue 08:00-00:30^Wed 08:00-00:30^Thu00:30","","Mon 08:00-21:00^Tue 08:00-21:00^Wed 08:00-21:00^Thu16:00","","","Mon 18:00-22:00^Tue 18:00-22:00^Wed 18:00-22:00^Thu17:00","","Mon 10:00-23:15^Tue 10:00-23:15^Wed 10:00-23:15^Thu23:15Mon 08:00-00:00^Tue 08:00-00:00^Wed 08:00-00:00^Thu00:00","Mon 10:00-23:15^Tue 10:00-23:15^Wed 10:00-23:15^Thu23:15Mon 08:00-00:00^Tue 08:00-00:00^Wed 08:00-00:00^Thu00:00","Mon 10:00-23:15^Tue 10:00-23:15^Wed 10:00-23:15^Thu23:15"
"5838","20/05/2005","The Victoria","The Victoria Ph, Axe Street, Barking, Essex, IG11 7NA","W H Brakspear and Sons Ltd","Lisa Searle","Mon 10:00-00:00^Tue 10:00-00:00^Wed 10:00-00:00^Thu10:00-00:00^Fri 10:00-01:00^Sat 10:00-01:00^Sun 12:00-00:00","Mon 23:00-00:30^Tue 23:00-00:30^Wed 23:00-00:30^Thu23:00-00:30^Fri 23:00-01:30^Sat 23:00-01:30^Sun 23:00-00:30","Mon 10:00-00:00^Tue 10:00-00:00^Wed 10:00-00:00^Thu10:00-00:00^Fri 10:00-01:00^Sat 10:00-01:00^Sun 12:00-00:00","Mon 10:00-00:30^Tue 10:00-00:30^Wed 10:00-00:30^Thu10:00-00:30^Fri 10:00-01:30^Sat 10:00-01:30^Sun 12:00-00:30","Mon 10:00-00:30^Tue 10:00-00:30^Wed 10:00-00:30^Thu10:00-00:30^Fri 10:00-01:30^Sat 10:00-01:30^Sun 12:00-22:30","","","Mon 10:00-00:30^Tue 10:00-00:30^Wed 10:00-00:30^Thu10:00-00:30^Fri 10:00-01:30^Sat 10:00-01:30^Sun 12:00-00:30","","","","Mon 10:00-00:00^Tue 10:00-00:00^Wed 10:00-00:00^Thu10:00-00:00^Fri 10:00-01:00^Sat 10:00-01:00^Sun 12:00-00:00","Mon 10:00-00:00^Tue 10:00-00:00^Wed 10:00-00:00^Thu10:00-00:00^Fri 10:00-01:00^Sat 10:00-01:00^Sun 12:00-00:00",""
"5924","21/05/2005","The Lord Denman","270-272 Heathw ay, Dagenham, Essex, RM10 8BR","AMBA PUBCO LTD","Deepak Singh","Mon 09:00-23:00^Tue 09:00-23:00^Wed 09:00-23:00^Thu09:00-23:00^Fri 09:00-23:00^Sat 09:00-23:00^Sun 09:00-23:00","Mon 23:00-23:30^Tue 23:00-23:30^Wed 23:00-23:30^Thu23:00-23:30^Fri 23:00-23:30^Sat 23:00-23:30^Sun 23:00-23:30","Mon 09:00-23:00^Tue 09:00-23:00^Wed 09:00-23:00^Thu09:00-23:00^Fri 09:00-23:00^Sat 09:00-23:00^Sun 09:00-23:00","Mon 09:00-23:00^Tue 09:00-23:00^Wed 09:00-23:00^Thu09:00-23:00^Fri 09:00-23:00^Sat 09:00-23:00^Sun 09:00-23:00","Mon 07:00-23:00^Tue 07:00-23:00^Wed 07:00-23:00^Thu07:00-23:00^Fri 07:00-23:00^Sat 07:00-23:00^Sun 07:00-23:00","","","","","","","","",""
"5972","28/06/2005","The Lighterman","The Lighterman Ph, 109 Bastable Avenue, Barking, Essex, IG11 0NX","Star Pubs Trading Limited","David Smith","Mon 10:00-00:00^Tue 10:00-00:00^Wed 10:00-00:00^Thu10:00-00:00^Fri 10:00-01:00^Sat 10:00-01:00^Sun 12:00-22:30","","Mon 10:00-00:00^Tue 10:00-00:00^Wed 10:00-00:00^Thu10:00-00:00^Fri 10:00-01:00^Sat 10:00-01:00^Sun 12:00-22:30","Mon 10:00-00:00^Tue 10:00-00:00^Wed 10:00-00:00^Thu10:00-00:00^Fri 10:00-01:00^Sat 10:00-01:00^Sun 12:00-22:30","Mon 10:00-00:30^Tue 10:00-00:30^Wed 10:00-00:30^Thu10:00-00:30^Fri 10:00-01:30^Sat 10:00-01:30^Sun 12:00-23:00","","","","","","Mon 10:00-00:00^Tue 10:00-00:00^Wed 10:00-00:00^Thu10:00-00:00^Fri 10:00-01:00^Sat 10:00-01:00^Sun 12:00-22:30","","",""
"6074","21/06/2005","Ottoman Food & Wine","217-219 Reede Road, Dagenham, Essex, RM10 8EH","Gokhan Sonmez","Gokhan Sonmez","Mon 08:00-23:00^Tue 08:00-23:00^Wed 08:00-23:00^Thu08:00-23:00^Fri 08:00-23:00^Sat 08:00-23:00^Sun 10:00-22:30","","","","Mon 08:00-23:00^Tue 08:00-23:00^Wed 08:00-23:00^Thu08:00-23:00^Fri 08:00-23:00^Sat 08:00-23:00^Sun 09:00-22:30","","","","","","","","",""
"6128","07/01/2005","Krishna's Village Store","32 Church Street, Dagenham, Essex, RM10 9UU","Mrs Raksha Patel","Mr. Rajesh Patel","Mon 08:00-23:00^Tue 08:00-23:00^Wed 08:00-23:00^Thu08:00-23:00^Fri 08:00-23:00^Sat 08:00-23:00^Sun 10:00-22:30","","","","Mon 07:30-20:00^Tue 07:30-20:00^Wed 07:30-20:00^Thu07:30-20:00^Fri 07:30-20:00^Sat 07:30-20:00^Sun 07:30-15:00","","","","","","","","",""
"6129","07/01/2005","Nisa Local","8-10 Woodw ard Road, Dagenham, Essex, RM9 4SH","Mr Vipin Gohil","Mr Vipin Gohil","Mon 08:00-23:00^Tue 08:00-23:00^Wed 08:00-23:00^Thu08:00-23:00^Fri 08:00-23:00^Sat 08:00-23:00^Sun 10:00-22:30","","","","Mon 07:00-22:30","","","","","","","","",""
"6133","07/03/2005","The Eastbrook PH","Eastbrook Hotel Ph, Dagenham Road, Dagenham, Essex, RM10 7UP","Eastbrook Holdings LTD","MD Salek Ahmed","Mon 10:00-23:30^Tue 10:00-23:30^Wed 10:00-23:30^Thu10:00-23:30^Fri 10:00-00:30^Sat 10:00-00:30^Sun 11:00-23:30","Fri 23:00-00:00^Sat 23:00-00:00","Mon 10:00-23:00^Tue 10:00-23:00^Wed 10:00-23:00^Thu10:00-23:00^Fri 10:00-23:00^Sat 10:00-23:00^Sun 10:00-23:00","Mon 10:00-23:30^Tue 10:00-23:30^Wed 10:00-23:30^Thu10:00-23:30^Fri 10:00-00:30^Sat 10:00-00:30^Sun 10:00-23:30","Mon 10:00-23:30^Tue 10:00-23:30^Wed 10:00-23:30^Thu10:00-23:30^Fri 10:00-00:30^Sat 10:00-00:30^Sun 10:00-23:30","","Mon 10:00-23:30^Tue 10:00-23:30^Wed 10:00-23:30^Thu10:00-23:30^Fri 10:00-00:30^Sat 10:00-00:30^Sun 11:00-23:30","Mon 10:00-23:30^Tue 10:00-23:30^Wed 10:00-23:30^Thu10:00-23:30^Fri 10:00-00:30^Sat 10:00-00:30^Sun 11:00-23:30","","","","Mon 10:00-23:00^Tue 10:00-23:00^Wed 10:00-23:00^Thu10:00-23:00^Fri 10:00-23:00^Sat 10:00-23:00^Sun 10:00-23:00","Mon 10:00-23:30^Tue 10:00-23:30^Wed 10:00-23:30^Thu10:00-23:30^Fri 10:00-00:30^Sat 10:00-00:30^Sun 11:00-23:30",""
"6137","26/07/2005","Goals Soccer Centre","Goals Five A Side Football, Cook Road, Dagenham, Essex, RM9 6XW","Northw ind 5S Limited","Nathan Dew berry","Mon 10:00-23:00^Tue 10:00-23:00^Wed 10:00-23:00^Thu10:00-23:00^Fri 10:00-00:00^Sat 10:00-00:00^Sun 12:00-22:30","Fri 23:00-00:00^Sat 23:00-00:00","Mon 10:00-23:00^Tue 10:00-23:00^Wed 10:00-23:00^Thu10:00-23:00^Fri 10:00-00:00^Sat 10:00-00:00^Sun 12:00-23:00","Mon 10:00-23:00^Tue 10:00-23:00^Wed 10:00-23:00^Thu10:00-23:00^Fri 10:00-00:00^Sat 10:00-00:00^Sun 12:00-23:00","Mon 10:00-23:00^Tue 10:00-23:00^Wed 10:00-23:00^Thu10:00-23:00^Fri 10:00-00:30^Sat 10:00-00:30^Sun 10:00-23:30","","","","","Mon 10:00-23:00^Tue 10:00-23:00^Wed 10:00-23:00^Thu10:00-23:00^Fri 10:00-00:00^Sat 10:00-00:00^Sun 12:00-23:00","Mon 10:00-23:00^Tue 10:00-23:00^Wed 10:00-23:00^Thu10:00-23:00^Fri 10:00-00:00^Sat 10:00-00:00^Sun 12:00-23:00","Mon 10:00-23:00^Tue 10:00-23:00^Wed 10:00-23:00^Thu10:00-23:00^Fri 10:00-00:00^Sat 10:00-00:00^Sun 12:00-23:00","",""
"6154","07/05/2005","Dagenham East Wines","623 Rainham Road South, Dagenham, Essex, RM10 8AH","Manjit Mattu","Manjit Mattu","Mon 06:00-23:00^Tue 06:00-23:00^Wed 06:00-23:00^Thu06:00-23:00^Fri 06:00-23:00^Sat 06:00-23:00^Sun 06:00-23:00","","","","Mon 06:00-23:00^Tue 06:00-23:00^Wed 06:00-23:00^Thu06:00-23:00^Fri 06:00-23:00^Sat 06:00-23:00^Sun 06:00-23:00","","","","","","","","",""
"6164","07/05/2005","Shels Food & Wine","131 Becontree Avenue, Dagenham, Essex, RM8 2UL","Niranjan Arumugam","Nithiyanandasundaram Logesh","Mon 08:00-23:00^Tue 08:00-23:00^Wed 08:00-23:00^Thu08:00-23:00^Fri 08:00-23:00^Sat 08:00-23:00^Sun 10:00-22:30","","","","Mon 09:00-22:30^Tue 09:00-22:30^Wed 09:00-22:30^Thu09:00-22:30^Fri 09:00-22:30^Sat 09:00-22:30^Sun 09:00-22:30","","","","","","","","",""
"6169","07/07/2015","N.C Convenience Store","804 Green Lane, Dagenham, Essex, RM8 1YT","PriteshKumar Patel","Priteshkumar Patel","Mon 08:00-23:00^Tue 08:00-23:00^Wed 08:00-23:00^Thu08:00-23:00^Fri 08:00-23:00^Sat 08:00-23:00^Sun 10:00-22:30","","","","Mon 06:00-23:00^Tue 06:00-23:00^Wed 06:00-23:00^Thu06:00-23:00^Fri 06:00-23:00^Sat 06:00-23:00^Sun 06:00-23:00","","","","","","","","",""
"6188","07/12/2005","The Co-operative","265-267 Wood Lane, Dagenham, RM8 3NH","Chelmsford Star Co-operative Society Ltd","Shafiqul Islam","Mon 08:00-23:00^Tue 08:00-23:00^Wed 08:00-23:00^Thu08:00-23:00^Fri 08:00-23:00^Sat 08:00-23:00^Sun 10:00-22:30","","","","","","","","","","","","",""
"6191","13/07/2005","Variety Food and Wine","53 Ripple Road, Barking, Essex, IG11 7NT","Sevilay Koca","Sevilay Koca","Mon 08:00-23:00^Tue 08:00-23:00^Wed 08:00-23:00^Thu08:00-23:00^Fri 08:00-23:00^Sat 08:00-23:00^Sun 10:00-22:30","","","","Mon 08:30-23:00^Tue 08:30-23:00^Wed 08:30-23:00^Thu08:30-23:00^Fri 08:30-23:00^Sat 08:30-23:00^Sun 10:00-22:30","","","","","","","","",""
"6210","19/07/2005","Acorn","203 Longbridge Road Barking IG11 8UF","Spirit Pub Company Limited","Colin Coogan","Mon 11:00-23:00^Tue 11:00-23:00^Wed 11:00-23:00^Thu11:00-23:00^Fri 11:00-00:00^Sat 11:00-00:00^Sun 11:00-23:00","Fri 23:00-00:00^Sat 23:00-00:00","Mon 11:00-23:00^Tue 11:00-23:00^Wed 11:00-23:00^Thu11:00-23:00^Fri 11:00-00:00^Sat 11:00-00:00^Sun 11:00-23:00","Mon 11:00-23:00^Tue 11:00-23:00^Wed 11:00-23:00^Thu11:00-23:00^Fri 11:00-00:00^Sat 11:00-00:00^Sun 11:00-23:00","","","","","","","Mon 11:00-23:00^Tue 11:00-23:00^Wed 11:00-23:00^Thu11:00-23:00^Fri 11:00-00:00^Sat 11:00-00:00^Sun 11:00-23:00","Mon 11:00-23:00^Tue 11:00-23:00^Wed 11:00-23:00^Thu11:00-23:00^Fri 11:00-00:00^Sat 11:00-00:00^Sun 11:00-23:00","Mon 11:00-23:00^Tue 11:00-23:00^Wed 11:00-23:00^Thu11:00-23:00^Fri 11:00-00:00^Sat 11:00-00:00^Sun 11:00-23:00","Mon 11:00-23:00^Tue 11:00-23:00^Wed 11:00-23:00^Thu11:00-23:00^Fri 11:00-00:00^Sat 11:00-00:00^Sun 11:00-23:00"
"6222","21/07/2005","London Road Express Food & Wine","32 London Road, Barking, IG11 8AG","Sahin Erdogan","Nurettin Erdogan","Mon 08:00-23:00^Tue 08:00-23:00^Wed 08:00-23:00^Thu08:00-23:00^Fri 08:00-23:00^Sat 08:00-23:00^Sun 10:00-22:30","","","","Mon 06:00-19:30^Tue 06:00-19:30^Wed 06:00-19:30^Thu06:00-19:30^Fri 06:00-19:30^Sat 06:00-19:30^Sun 07:00-15:00","","","","","","","","",""
"6231","22/07/2005","Londis","86 Wood Lane, Dagenham, Essex, RM9 5SL","Mehmet Kayalar","Mehmet Kayalar","Mon 08:00-23:00^Tue 08:00-23:00^Wed 08:00-23:00^Thu08:00-23:00^Fri 08:00-23:00^Sat 08:00-23:00^Sun 10:00-22:30","","","","Mon 08:00-23:00^Tue 08:00-23:00^Wed 08:00-23:00^Thu08:00-23:00^Fri 08:00-23:00^Sat 08:00-23:00^Sun 10:00-22:30","","","","","","","","",""
"6236","22/07/2005","Super Pound Saver","499-501 Gale Street, Dagenham, Essex, RM9 4TP","Kayalvili Tharmeshw aran","Tharmalingam Tharmeshw aran","Mon 08:00-23:00^Tue 08:00-23:00^Wed 08:00-23:00^Thu08:00-23:00^Fri 08:00-23:00^Sat 08:00-23:00^Sun 10:00-22:30","","","","Mon 08:00-20:00^Tue 08:00-20:00^Wed 08:00-20:00^Thu08:00-20:00^Fri 08:00-20:00^Sat 08:00-20:00^Sun 08:00-20:00","","","","","","","","",""
"6238","23/07/2005","HPSP Grocery & Off Licence","220 High Road, Chadw ell Heath, Romford, Essex, RM6 6LS","Sutharshiny Vasanthan","Sutharshiny Vasanthan","Mon 08:00-23:00^Tue 08:00-23:00^Wed 08:00-23:00^Thu08:00-23:00^Fri 08:00-23:00^Sat 08:00-23:00^Sun 10:00-22:30","","","","Mon 08:30-19:30^Tue 08:30-19:30^Wed 08:30-19:30^Thu08:30-19:30^Fri 08:30-19:30^Sat 08:30-19:30^Sun 10:00-14:00","","","","","","","","",""
"6241","23/07/2005","Matapan","945 Green Lane, Dagenham, RM8 1DJ","Mitchells & Butler Leisure Retail Ltd","Kate Cairns - Gill","Mon 10:00-23:00^Tue 10:00-23:00^Wed 10:00-23:00^Thu10:00-00:00^Fri 10:00-00:00^Sat 10:00-00:00^Sun 12:00-23:00","Thu 23:00-00:00^Fri 23:00-00:00^Sat 23:00-00:00","Mon 10:00-23:00^Tue 10:00-23:00^Wed 10:00-23:00^Thu10:00-00:00^Fri 10:00-00:00^Sat 10:00-00:00^Sun 12:00-23:00","Mon 10:00-23:00^Tue 10:00-23:00^Wed 10:00-23:00^Thu10:00-00:00^Fri 10:00-00:00^Sat 10:00-00:00^Sun 12:00-23:00","Mon 07:00-23:30^Tue 07:00-23:30^Wed 07:00-23:30^Thu07:00-00:30^Fri 07:00-00:30^Sat 07:00-00:30^Sun 07:00-23:30","","Mon 10:00-23:00^Tue 10:00-23:00^Wed 10:00-23:00^Thu10:00-00:00^Fri 10:00-00:00^Sat 10:00-00:00^Sun 12:00-23:00","","","Mon 10:00-23:00^Tue 10:00-23:00^Wed 10:00-23:00^Thu10:00-00:00^Fri 10:00-00:00^Sat 10:00-00:00^Sun 12:00-23:00","","Mon 10:00-23:00^Tue 10:00-23:00^Wed 10:00-23:00^Thu10:00-00:00^Fri 10:00-00:00^Sat 10:00-00:00^Sun 12:00-23:00","Mon 10:00-23:00^Tue 10:00-23:00^Wed 10:00-23:00^Thu10:00-00:00^Fri 10:00-00:00^Sat 10:00-00:00^Sun 12:00-23:00",""
"6242","29/06/2005","McDonalds","Goresbrook Leisure Centre, Cook Road, Dagenham, Essex, RM9 6XW","McDonald's Restaurants Limited","","","Mon 23:00-05:00^Tue 23:00-05:00^Wed 23:00-05:00^Thu23:00-05:00^Fri 23:00-05:00^Sat 23:00-05:00^Sun 23:00-05:00","","","","","","","","","","","",""
"6244","26/07/2005","Wood Lane Food & Wine","301 Wood Lane, Dagenham, Essex, RM8 3NH","Kamil Koc","Kamil Koc","Mon 08:00-23:00^Tue 08:00-23:00^Wed 08:00-23:00^Thu08:00-23:00^Fri 08:00-23:00^Sat 08:00-23:00^Sun 10:00-22:30","","","","","","","","","","","","",""
"6245","20/12/2006","Coronet Service Station","699 Rainham Road South, Dagenham, Essex, RM10 8XB","Park Garage Group PLC","Gentle Gopinathan Nair","Mon 06:00-01:00^Tue 06:00-01:00^Wed 06:00-01:00^Thu06:00-01:00^Fri 06:00-01:00^Sat 06:00-01:00^Sun 06:00-01:00","Mon 23:00-05:00^Tue 23:00-05:00^Wed 23:00-05:00^Thu23:00-05:00^Fri 23:00-05:00^Sat 23:00-05:00^Sun 23:00-05:00","","","","","","","","","","","",""
"6246","27/07/2005","The Spotted Dog","Spotted Dog Ph, 13-15 Longbridge Road, Barking, Essex, IG11 8TN","MD Sharif","MD Sharif","10:00-23:00^Fri 10:00-23:00^Sat 10:00-23:00^Sun 12:00-","Mon 23:00-23:30^Tue 23:00-23:30^Wed 23:00-23:30^Thu23:00-23:30^Fri 23:00-23:30^Sat 23:00-23:30","10:00-23:00^Fri 10:00-23:00^Sat 10:00-23:00^Sun 12:00-","10:00-23:30^Fri 10:00-23:30^Sat 10:00-23:30^Sun 12:00-","","","","","","","","","",""
"6247","27/07/2005","Kentucky Fried Chicken","39 Station Parade, Barking, IG11 8EB","Nexus Foods Ltd","","","Mon 23:00-02:00^Tue 23:00-02:00^Wed 23:00-02:00^Thu23:00-02:00^Fri 23:00-02:00^Sat 23:00-02:00^Sun 23:00-02:00","","Mon 06:00-02:00^Tue 06:00-02:00^Wed 06:00-02:00^Thu06:00-02:00^Fri 06:00-02:00^Sat 06:00-02:00^Sun 06:00-02:00","Mon 06:00-02:00^Tue 06:00-02:00^Wed 06:00-02:00^Thu06:00-02:00^Fri 06:00-02:00^Sat 06:00-02:00^Sun 06:00-02:00","","","","","","","","",""
"6249","27/07/2005","The Barking Dog","61X Station Parade, Barking, Essex, IG11 8TU","JD Wethersppon Plc","Sharon Horscroft","Mon 09:00-00:00^Tue 09:00-00:00^Wed 09:00-00:00^Thu09:00-00:00^Fri 09:00-01:00^Sat 09:00-01:00^Sun 09:00-00:00","Mon 23:00-00:00^Tue 23:00-00:00^Wed 23:00-00:00^Thu23:00-00:00^Fri 23:00-01:00^Sat 23:00-01:00^Sun 23:00-00:00","Mon 07:00-00:30^Tue 07:00-00:30^Wed 07:00-00:30^Thu07:00-00:30^Fri 07:00-01:30^Sat 07:00-01:30^Sun 07:00-00:30","Mon 07:00-00:30^Tue 07:00-00:30^Wed 07:00-00:30^Thu07:00-00:30^Fri 07:00-01:30^Sat 07:00-01:30^Sun 07:00-00:30","Mon 07:00-00:30^Tue 07:00-00:30^Wed 07:00-00:30^Thu07:00-00:30^Fri 07:00-01:30^Sat 07:00-01:30^Sun 07:00-00:30","","Mon 07:00-00:30^Tue 07:00-00:30^Wed 07:00-00:30^Thu07:00-00:30^Fri 07:00-01:30^Sat 07:00-01:30^Sun 07:00-00:30","","","Mon 07:00-00:30^Tue 07:00-00:30^Wed 07:00-00:30^Thu07:00-00:30^Fri 07:00-01:30^Sat 07:00-01:30^Sun 07:00-00:30","Mon 07:00-00:30^Tue 07:00-00:30^Wed 07:00-00:30^Thu07:00-00:30^Fri 07:00-01:30^Sat 07:00-01:30^Sun 07:00-00:30","Mon 07:00-00:30^Tue 07:00-00:30^Wed 07:00-00:30^Thu07:00-00:30^Fri 07:00-01:30^Sat 07:00-01:30^Sun 07:00-00:30","Mon 07:00-00:30^Tue 07:00-00:30^Wed 07:00-00:30^Thu07:00-00:30^Fri 07:00-01:30^Sat 07:00-01:30^Sun 07:00-00:30","Mon 07:00-00:30^Tue 07:00-00:30^Wed 07:00-00:30^Thu07:00-00:30^Fri 07:00-01:30^Sat 07:00-01:30^Sun 07:00-00:30"
"6258","28/07/2005","Curry Mahal Tandoori","27a Goresbrook Road, Dagenham, RM9 6UX","Fakrul Islam","Fakrul Islam","Mon 10:00-00:00^Tue 10:00-00:00^Wed 10:00-00:00^Thu10:00-00:00^Fri 10:00-00:00^Sat 10:00-00:00^Sun 12:00-23:30","Mon 23:00-01:00^Tue 23:00-01:00^Wed 23:00-01:00^Thu23:00-01:00^Fri 23:00-02:00^Sat 23:00-02:00^Sun 23:00-01:00","","Mon 10:00-00:00^Tue 10:00-00:00^Wed 10:00-00:00^Thu10:00-00:00^Fri 10:00-00:00^Sat 10:00-00:00^Sun 12:00-23:30","","","","","","","","","",""
"6261","28/07/2005","K.F.C.","Unit 6 Merrielands Retail Park, Dagenham., RM9 6SJ","Nexus Foods Ltd","","","Mon 23:00-00:00^Tue 23:00-00:00^Wed 23:00-00:00^Thu23:00-00:00^Fri 23:00-00:00^Sat 23:00-00:00^Sun 23:00-00:00","","Mon 11:00-00:00^Tue 11:00-00:00^Wed 11:00-00:00^Thu11:00-00:00^Fri 11:00-00:00^Sat 11:00-00:00^Sun 11:00-00:00","Mon 11:00-00:00^Tue 11:00-00:00^Wed 11:00-00:00^Thu11:00-00:00^Fri 11:00-00:00^Sat 11:00-00:00^Sun 11:00-00:00","","","","","","","","",""
"6273","08/10/2005","Bodson Wine Store","2 Becontree Avenue, Dagenham, Essex, RM8 2UB","Ganesh Balasubramanian","Ganesh Balasubramanian","Mon 08:00-23:00^Tue 08:00-23:00^Wed 08:00-23:00^Thu08:00-23:00^Fri 08:00-23:00^Sat 08:00-23:00^Sun 10:00-22:30","","","","Mon 06:00-22:00^Tue 06:00-22:00^Wed 06:00-22:00^Thu06:00-22:00^Fri 06:00-22:00^Sat 06:00-22:00^Sun 07:00-21:00","","","","","","","","",""
"6280","08/02/2005","Saints Liquor Store","2-4 Monteagle Avenue, Barking, IG11 8RA","Edw ard Christy Thevathasan","Edw ard Christy Thevathasan","Mon 08:00-23:00^Tue 08:00-23:00^Wed 08:00-23:00^Thu08:00-23:00^Fri 08:00-23:00^Sat 08:00-23:00^Sun 10:00-22:30","","","","Mon 09:00-23:00^Tue 09:00-23:00^Wed 09:00-23:00^Thu09:00-23:00^Fri 09:00-23:00^Sat 09:00-23:00^Sun 10:30-22:30","","","","","","","","",""
"6286","08/03/2005","Kamba Shop","15 Station Parade, Barking, Essex, IG11 8ED","Chetankumar Patel","Chetankumar Patel","Mon 06:00-23:00^Tue 06:00-23:00^Wed 06:00-23:00^Thu06:00-23:00^Fri 06:00-23:00^Sat 06:00-23:00^Sun 08:00-22:30","","","","Mon 05:30-23:00^Tue 05:30-23:00^Wed 05:30-23:00^Thu05:30-23:00^Fri 05:30-23:00^Sat 05:30-23:00^Sun 07:00-22:30","","","","","","","","",""
"6289","08/03/2005","Wood Oven","25-27 Station Parade, Barking, Essex, IG11 8EF","Fethi Nam","Ahmet Ali Nam","Mon 10:00-23:30^Tue 10:00-23:30^Wed 10:00-23:30^Thu10:00-03:30^Fri 10:00-03:30^Sat 10:00-03:30^Sun 10:00-23:30","Mon 23:00-23:30^Tue 23:00-23:30^Wed 23:00-23:30^Thu23:00-03:30^Fri 23:00-03:30^Sat 23:00-03:30^Sun 23:00-23:30","Mon 10:00-23:30^Tue 10:00-23:30^Wed 10:00-23:30^Thu10:00-03:30^Fri 10:00-03:30^Sat 10:00-03:30^Sun 10:00-23:30","Mon 10:00-23:30^Tue 10:00-23:30^Wed 10:00-23:30^Thu10:00-03:30^Fri 10:00-03:30^Sat 10:00-03:30^Sun 10:00-23:30","Mon 10:00-00:00^Tue 10:00-00:00^Wed 10:00-00:00^Thu10:00-04:00^Fri 10:00-04:00^Sat 10:00-04:00^Sun 10:00-00:00","","Mon 10:00-23:30^Tue 10:00-23:30^Wed 10:00-23:30^Thu10:00-03:30^Fri 10:00-03:30^Sat 10:00-03:30^Sun 10:00-23:30","","","Mon 10:00-23:30^Tue 10:00-23:30^Wed 10:00-23:30^Thu10:00-03:30^Fri 10:00-03:30^Sat 10:00-03:30^Sun 10:00-23:30","","Mon 10:00-23:30^Tue 10:00-23:30^Wed 10:00-23:30^Thu10:00-03:30^Fri 10:00-03:30^Sat 10:00-03:30^Sun 10:00-23:30","Mon 10:00-23:30^Tue 10:00-23:30^Wed 10:00-23:30^Thu10:00-03:30^Fri 10:00-03:30^Sat 10:00-03:30^Sun 10:00-23:30",""
"6293","08/04/2005","AUM Cash & Carry","56A Whalebone Lane South, Dagenham, Essex, RM8 1BB","Ketankumar Dashrathbhai Patel","Ketankumar Dashrathbhai Patel","Mon 08:00-23:00^Tue 08:00-23:00^Wed 08:00-23:00^Thu08:00-23:00^Fri 08:00-23:00^Sat 08:00-23:00^Sun 10:00-22:30","","","","","","","","","","","","",""
"6296","09/05/2005","Arohana Food and Wine","10 Porters Avenue, Dagenham, Essex, RM9 2AQ","Laavanya Ashanthan","Laavanya Ashanthan","Mon 08:00-23:00^Tue 08:00-23:00^Wed 08:00-23:00^Thu08:00-23:00^Fri 08:00-23:00^Sat 08:00-23:00^Sun 08:00-23:00","","","","Mon 08:00-23:00^Tue 08:00-23:00^Wed 08:00-23:00^Thu08:00-23:00^Fri 08:00-23:00^Sat 08:00-23:00^Sun 08:00-23:00","","","","","","","","",""
"6302","08/06/2005","Barking Supermarket","48 Ripple Road, Barking, Essex, IG11 7PG","Hasan Ilkgoren","Hasan Ilkgoren","Mon 08:00-23:00^Tue 08:00-23:00^Wed 08:00-23:00^Thu08:00-23:00^Fri 08:00-23:00^Sat 08:00-23:00^Sun 10:00-22:30","","","","Mon 08:00-23:00^Tue 08:00-23:00^Wed 08:00-23:00^Thu08:00-23:00^Fri 08:00-23:00^Sat 08:00-23:00^Sun 10:00-22:30","","","","","","","","",""
"6306","08/06/2005","Dhillon","16 Faircross Parade, Longbridge Road, Barking, IG11 8UN","Kajan Sivasuthan","Kajan Sivasuthan","Mon 08:00-23:00^Tue 08:00-23:00^Wed 08:00-23:00^Thu08:00-23:00^Fri 08:00-23:00^Sat 08:00-23:00^Sun 10:00-22:30","","","","Mon 08:00-23:00^Tue 08:00-23:00^Wed 08:00-23:00^Thu08:00-23:00^Fri 08:00-23:00^Sat 08:00-23:00^Sun 10:00-22:30","","","","","","","","",""
