"Licence Number","Date Licence Granted","Premises Name","Premises Address","Licence Holder","Designated Premises Supervisor","Supply of Alcohol","Late Night Refreshment","Live Music","Recorded Music","Opening Hours","Plays","Films","Indoor Sporting Events","Boxing or Wrestling Entertainment","Performance of Dance","Other Entertainment Similar to Live or Recorded Music or Dance Performance","Facilities for Making Music","Facilities for Dancing","Other Entertainment Facilities Similar to Making Music or Dancing"
"46957","21/12/2017","The Spot","380 Ripple Road, Barking, IG11 9RS Irena Murati","","Irena Murati","Mon 10:30-23:00^Tue 10:30-23:00^Wed 10:30-23:00^Thu10:30-23:00^Fri 10:30-23:00^Sat 10:30-23:00^Sun 10:30-23:00","","","","Mon 10:30-23:00^Tue 10:30-23:00^Wed 10:30-23:00^Thu10:30-23:00^Fri 10:30-23:00^Sat 10:30-23:00^Sun 10:30-23:00","","","","","","","","",""
"47093","29/12/2017","Barking Football Club","Barking Football Club, Lodge Avenue, Dagenham, RM8 2JR Robert Obrien","","Robert O Brien","09:00-23:00^Fri 09:00-23:15^Sat 09:00-23:15^Sun 09:00-","Mon 23:00-23:30^Tue 23:00-23:30^Wed 23:00-23:30^Thu23:00-23:30^Fri 23:00-23:45^Sat 23:00-23:45","","09:00-23:30^Fri 09:00-23:45^Sat 09:00-23:45^Sun 09:00-","09:00-23:30^Fri 09:00-23:45^Sat 09:00-23:45^Sun 09:00-","","","","","","","","",""
"48024","03/08/2018","Nisa Local","Unit 1, Jute Court, 58 Abbey Road, Barking, IG11 7FT Mehmet Boztepe","","Mehmet Boztepe","Mon 08:00-00:00^Tue 08:00-00:00^Wed 08:00-00:00^Thu08:00-00:00^Fri 08:00-00:00^Sat 08:00-00:00^Sun 08:00-00:00","","","","Mon 07:00-23:00^Tue 07:00-23:00^Wed 07:00-23:00^Thu07:00-23:00^Fri 07:00-23:00^Sat 07:00-23:00^Sun 07:00-23:00","","","","","","","","",""
"48076","17/03/2018","Baynes Local","Unit 1 Baynes Crescent, Dagenham, RM10 8HE Ali Kara","","Ali Kara","Mon 08:00-23:00^Tue 08:00-23:00^Wed 08:00-23:00^Thu08:00-23:00^Fri 08:00-23:00^Sat 08:00-23:00^Sun 08:00-23:00","","","","Mon 07:00-23:00^Tue 07:00-23:00^Wed 07:00-23:00^Thu07:00-23:00^Fri 07:00-23:00^Sat 07:00-23:00^Sun 07:00-23:00","","","","","","","","",""
"48308","13/04/2018","Travelodge London Dagenham","Unit 8, London East Leisure Park, Cook Road, Dagenham, RM9 6UQ Travelodge Hotels Limited","","Michael Peter Fall","Mon 00:00-23:59^Tue 00:00-23:59^Wed 00:00-23:59^Thu00:00-23:59^Fri 00:00-23:59^Sat 00:00-23:59^Sun 00:00-23:59","Mon 23:00-05:00^Tue 23:00-05:00^Wed 23:00-05:00^Thu23:00-05:00^Fri 23:00-05:00^Sat 23:00-05:00^Sun 23:00-05:00","","","Mon 00:00-23:59^Tue 00:00-23:59^Wed 00:00-23:59^Thu00:00-23:59^Fri 00:00-23:59^Sat 00:00-23:59^Sun 00:00-23:59","","","","","","","","",""
"48516","20/04/2018","Shell Ripple Road","514 Ripple Road, Barking, Essex, IG11 9PG Shell UK Oil Limited","","Sinnathamby Pathmanathan","Mon 05:00-02:00^Tue 05:00-02:00^Wed 05:00-02:00^Thu05:00-02:00^Fri 05:00-02:00^Sat 05:00-02:00^Sun 05:00-02:00","Mon 23:00-05:00^Tue 23:00-05:00^Wed 23:00-05:00^Thu23:00-05:00^Fri 23:00-05:00^Sat 23:00-05:00^Sun 23:00-05:00","","","Mon 00:00-23:59^Tue 00:00-23:59^Wed 00:00-23:59^Thu00:00-23:59^Fri 00:00-23:59^Sat 00:00-23:59^Sun 00:00-23:59","","","","","","","","",""
"48603","05/02/2018","Lodge New sagents","456 Lodge Avenue, Dagenham, RM9 4QS Mr Rakesh Dineshchandra Thakkar","","Rakesh Dineshchandra","Mon 07:00-23:00^Tue 07:00-23:00^Wed 07:00-23:00^Thu07:00-23:00^Fri 07:00-23:00^Sat 07:00-23:00^Sun 07:00-23:00","","","","Mon 06:30-23:00^Tue 06:30-23:00^Wed 06:30-23:00^Thu06:30-23:00^Fri 06:30-23:00^Sat 06:30-23:00^Sun 07:00-22:30","","","","","","","","",""
"48828","19/05/2018","Beks Zone","390 Ripple Road, Barking, IG11 9RS Bujar Cera","","Bujar Cera","Mon 08:00-23:30^Tue 08:00-23:30^Wed 08:00-23:30^Thu08:00-23:30^Fri 08:00-00:30^Sat 08:00-00:30^Sun 08:00-23:30","","Mon 12:00-22:30^Tue 12:00-22:30^Wed 12:00-22:30^Thu12:00-22:30^Fri 12:00-22:30^Sat 12:00-22:30^Sun 12:00-22:30","Mon 08:00-22:30^Tue 08:00-22:30^Wed 08:00-22:30^Thu08:00-22:30^Fri 08:00-22:30^Sat 08:00-22:30^Sun 08:00-22:30","Mon 08:00-00:00^Tue 08:00-00:00^Wed 08:00-00:00^Thu08:00-00:00^Fri 08:00-01:00^Sat 08:00-01:00^Sun 08:00-00:00","","","Mon 08:00-22:30^Tue 08:00-22:30^Wed 08:00-22:30^Thu08:00-22:30^Fri 08:00-23:30^Sat 08:00-23:30^Sun 08:00-22:30","","","","","",""
"49137","07/05/2018","LINAS2","283 Wood Lane, Dagenham, RM8 3NH Julius Jurginas","","Julius Jurginas","Mon 09:00-21:00^Tue 09:00-21:00^Wed 09:00-21:00^Thu09:00-21:00^Fri 09:00-22:00^Sat 09:00-22:00^Sun 09:00-21:00","","","","Mon 09:00-21:00^Tue 09:00-21:00^Wed 09:00-21:00^Thu09:00-21:00^Fri 09:00-22:00^Sat 09:00-22:00^Sun 09:00-21:00","","","","","","","","",""
"49261","16/06/2018","GO Local","392 Ripple Road, Barking, Essex, IG11 9RS GOJ Foods Ltd","","Romas Bugaitis","Mon 10:00-23:00^Tue 10:00-23:00^Wed 10:00-23:00^Thu10:00-23:00^Fri 10:00-23:00^Sat 10:00-23:00^Sun 10:00-22:00","","","","Mon 07:00-23:00^Tue 07:00-23:00^Wed 07:00-23:00^Thu07:00-23:00^Fri 07:00-23:00^Sat 07:00-23:00^Sun 10:00-21:00","","","","","","","","",""
"49494","07/12/2018","LC Grocery Ltd","85 High Road, Chadw ell Heath, RM6 6PB Liliana Ramona Craciun","","Liliana Ramona Craciun","Mon 10:00-21:00^Tue 10:00-21:00^Wed 10:00-21:00^Thu10:00-21:00^Fri 10:00-21:00^Sat 10:00-21:00^Sun 10:00-21:00","","","","Mon 10:00-21:00^Tue 10:00-21:00^Wed 10:00-21:00^Thu10:00-21:00^Fri 10:00-21:00^Sat 10:00-21:00^Sun 10:00-21:00","","","","","","","","",""
"49541","15/07/2018","Amish Wholesalers","39 River Road, Barking, Essex, IG11 0DB Amish Thakkar","","Shivraj Singh Rathore","Mon 02:00-20:00^Tue 02:00-20:00^Wed 02:00-20:00^Thu02:00-20:00^Fri 02:00-20:00^Sat 02:00-20:00^Sun 02:00-20:00","","","","Mon 08:00-20:00^Tue 08:00-20:00^Wed 08:00-20:00^Thu08:00-20:00^Fri 08:00-20:00^Sat 08:00-20:00^Sun 08:00-20:00","","","","","","","","",""
"49989","15/08/2018","La Popa Magazin Romanesc","694 Becontree Avenue, Dagenham, RM8 3HD ROMANIAN GROCERY LTD","","Vasile Popa","Mon 09:00-22:00^Tue 09:00-22:00^Wed 09:00-22:00^Thu09:00-22:00^Fri 09:00-22:00^Sat 09:00-22:00^Sun 09:00-22:00","","","","Mon 09:00-22:00^Tue 09:00-22:00^Wed 09:00-22:00^Thu09:00-22:00^Fri 09:00-22:00^Sat 09:00-22:00^Sun 09:00-22:00","","","","","","","","",""
"49997","21/08/2018","Caffe Latte","Unit 2, Vicarage Field Shopping Centre, Ripple Road, Barking, IG11 8DG Maslina Siddique","","Maslina Siddiue","Mon 12:00-22:45^Tue 12:00-22:45^Wed 12:00-22:45^Thu12:00-22:45^Fri 12:00-22:45^Sat 12:00-22:45^Sun 12:00-22:45","","","Mon 06:00-22:45^Tue 06:00-22:45^Wed 06:00-22:45^Thu06:00-22:45^Fri 06:00-22:45^Sat 06:00-22:45^Sun 07:00-22:45","Mon 06:00-23:00^Tue 06:00-23:00^Wed 06:00-23:00^Thu06:00-23:00^Fri 06:00-23:00^Sat 06:00-23:00^Sun 07:00-23:00","","","","","","Mon 06:00-22:45^Tue 06:00-22:45^Wed 06:00-22:45^Thu06:00-22:45^Fri 06:00-22:45^Sat 06:00-22:45^Sun 07:00-22:45","","",""
